# title_pages_by_crc — кросс-проектная reference-таблица (crc32 → титульные страницы + confidence). Источник: Checker title-detector (opus_checker@e4b32dc, tools_heading/title_zone.py). Прогон 2026-06-17: 451 bundle, confidence high 443 / low 8. Делимитер ; (в file_name есть запятые). Джойн по crc32 (DEC-20260615-006). confidence=high → найден текст-якорь «ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ» (детектор cover_end exact 100%/±1 100% на 34 taxonomy); low → аномалия (image_title/no_title/…). Строки # пропускать при чтении.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
9844197f;5.3.2. 07-2022-ИОС 3.2.pdf;1-4;"1;2;4";;high
48a1c6c2;5.3_Раздел ПД №ИОС3.pdf;1-4;"2;3;4";;high
70011319;5.4.1. 07-2022-ИОС 4.1.pdf;1-6;"1;2;6";;high
f4d85252;5.4.1_ИОС4.1.pdf;1-2;"1;2";;high
04e48032;5.4.2. СЛТ-3022-ИОС 4.2.pdf;1-4;4;;high
e38312d4;5.4.2_ИОС4.2.pdf;1-2;"1;2";;high
5f002672;5.4.3_ИОС4.3.pdf;1-2;"1;2";;high
b76d6306;5.4_ИОС4 Амград дом 4.pdf;1-4;"2;3;4";;high
4a9a3c8a;5.4_ОВ Храм.pdf;1-2;"1;2";;high
4dbf64ff;5.5. 07-2022-ИОС5.pdf;1-5;"1;2;5";;high
4e97c5c8;5.5_428-2022-ИОС 5.1.pdf;1-4;"3;4";;high
51c1b120;5.5_ИОС5_27.05.2023.pdf;1-2;"1;2";;high
96010e75;5.5_СС - Храм.pdf;1-2;"1;2";;high
ac75e355;5.7.1_ИОС7.1.pdf;1-2;"1;2";;high
a2d02961;5_2_ИОС2_071122.pdf;1-2;"1;2";;high
106ad8eb;5_3_ИОС3_071122.pdf;;;no_title_at_start;low
11aa1219;5_4_1_ИОС4.1_270323.pdf;1;1;;high
f302c5fe;6.1. 07-2022-ИОС 6.1.pdf;1-6;"1;2;6";;high
035b0771;6.2. СЛТ-3022-ИОС 6.2.pdf;1-4;"1;2;4";;high
659e23c1;6_ПОС.pdf;1-2;"1;2";;high
567f3331;6_ТХ_071122.pdf;1-2;"1;2";;high
f40720ae;7. 07-2022-ПОС.pdf;1-6;"1;2;6";;high
ad9af67f;7_ПОС_071122.pdf;1-2;"1;2";;high
ebfeb878;8. 07-2022-ООС.pdf;1-5;"1;2;5";;high
8c4e11a1;8_ООС_071122.pdf;1-2;"1;2";;high
257f8dc7;9. 07-2022-ПБ.pdf;1-4;"1;2;4";;high
d675a46c;9_360-ПБ1.pdf;1-2;1;;high
0156227f;9_428-2022-ПБ.pdf;1-4;"2;3;4";;high
f207f87f;9_ПБ_071122.pdf;1-2;"1;2";;high
db6b7bd4;9_ПБ_29.09.23.pdf;1-2;"1;2";;high
090110e6;Амград АР Дом 5_06_07_2023.pdf;1-2;2;;high
abb6358b;ИЛО1 от 04.05.2023.pdf;1-2;"1;2";;high
3d62d941;К-А-14А-КР г. Королев, ул. Аржакова, д. 14А.pdf;1-2;;image_title;low
c4d39956;К-А-14А-ПОС г. Королев, ул. Аржакова, д. 14А.pdf;1-2;"1;2";;high
b4feb66c;К-А-14А-СМ , ул. Аржакова, д. 14А.pdf;1-2;"1;2";;high
6e640d25;КР Новая кровля Краснополянская 31 (1).pdf;1-2;"1;2";;high
ea7e06a9;ОДИ Каширка лавка.pdf;;;no_title_at_start;low
2cd62c14;ПОКР ЛЕН17.pdf;1-2;"1;2";;high
e755be84;ПОКР кровля Краснополянская.pdf;1-2;"1;2";;high
d4dca83d;Раздел 2 ПД - 12-ППО.pdf;1-2;"1;2";;high
11627052;Раздел 3, г. Ногинск, Истомкинский 1-ый проезд, д. 11 ГВС,АР.pdf;1-2;"1;2";;high
85930f7a;Раздел 4, г. Ногинск, Истомкинский 1-ый проезд, д. 11 ГВС,КР.pdf;1-2;"1;2";;high
242109bd;Раздел 4_КР_г. Ногинск, пр-д 2-ой Кардолентный, д. 7.pdf;1-2;"1;2";;high
d9c29efc;Раздел 5, подр. 1, г. Ногинск, Истомкинский 1-ый проезд, д. 11 ГВС,ИОС1.pdf;1-2;"1;2";;high
13c26314;Раздел 5, подр. 4, г. Ногинск, Истомкинский 1-ый проезд, д. 11 ГВС,ИОС4 .pdf;1-2;"1;2";;high
bd97cd10;Раздел 7 ПОКР -  Сергиев Посад, б-р Кузнецова, д. 3.pdf;1-2;"1;2";;high
bee34b4d;Раздел 7, г. Ногинск, Истомкинский 1-ый проезд, д. 11 ГВС,ПОКР.pdf;1-2;"1;2";;high
fa4624a8;Раздел 7_ПОС_ г. Ногинск, пр-д 2-ой Кардолентный, д. 7.pdf;1-2;"1;2";;high
986641cb;Раздел ПБ секция 5.pdf;1-4;"2;3;4";;high
b2b7df8e;Раздел ПД N 13  ИД_ г.Подольск, мкр-н Климовск, ул.Заводская, д.12.pdf;1-2;"1;2";;high
6b7ec005;Раздел ПД N 13  ИД_ г.Подольск, мкр-н Климовск, ул.Заводская, д.4б.pdf;1-2;"1;2";;high
11b4a9e6;Раздел ПД N 13  ИД_50 лет Октября, д. 12а.pdf;1-2;"1;2";;high
75b7b740;Раздел ПД N 13  ИД_ул.Первомайская, д.1.pdf;1-2;"1;2";;high
b032e84a;Раздел ПД N 13  ИД_ул.Первомайская, д.3.pdf;1-2;"1;2";;high
7dd41a89;Раздел ПД N 13  ИД_ул.Театральная ул. д. 4.pdf;1-2;"1;2";;high
2518ecb3;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, пр-кт 50 лет Октября, д. 16б.pdf;1-2;"1;2";;high
2c51833d;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, пр-кт 50 лет Октября, д. 24а.pdf;1-2;"1;2";;high
dd6e3719;Раздел ПД N 13 ИД_ г.Подольск, мкр-н Климовск, ул. Симферопольская, д. 33.pdf;1-2;"1;2";;high
